path,label,length
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__0.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__1.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__2.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__3.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__4.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__5.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__6.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__7.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__8.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse001_x264__9.npy,Abuse,170
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__0.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__1.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__2.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__3.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__4.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__5.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__6.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__7.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__8.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse002_x264__9.npy,Abuse,54
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__0.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__1.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__2.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__3.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__4.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__5.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__6.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__7.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__8.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse003_x264__9.npy,Abuse,231
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__0.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__1.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__2.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__3.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__4.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__5.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__6.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__7.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__8.npy,Abuse,1049
